# Machine-readable map from paper claims to on-disk aggregate CSVs.
# Columns:
#   paper_location  — section / figure / table pointer
#   claim           — human-readable name of the claim
#   value           — numeric value as it appears in the paper (string to preserve formatting)
#   tolerance       — absolute tolerance for verify_numbers.py (0 = exact match for integers)
#   source          — path (relative to package root) + locator inside the file
#   status          — VERIFIED (checks against source), TODO_CAMERA_READY (open), NOTE (informational)
paper_location,claim,value,tolerance,source,status
"Figure 3","NNA smell reduction %","-96.3",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:NNA:delta_pct",VERIFIED
"Figure 3","DS smell reduction %","-33.8",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:DS:delta_pct",VERIFIED
"Figure 3","TSES smell reduction %","-74.5",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:TSES:delta_pct",VERIFIED
"Figure 3","AC smell reduction %","-6.0",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:AC:delta_pct",VERIFIED
"Figure 3","ENET smell reduction %","-46.0",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:ENET:delta_pct",VERIFIED
"Figure 3","EDIS smell reduction %","-63.0",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:EDIS:delta_pct",VERIFIED
"Figure 3","EDED smell reduction %","-80.5",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:EDED:delta_pct",VERIFIED
"Figure 3","NARV smell reduction %","-47.5",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:NARV:delta_pct",VERIFIED
"Figure 3","OIMT smell reduction %","-13.6",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:OIMT:delta_pct",VERIFIED
"Figure 3","TOFA smell reduction %","-19.6",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:TOFA:delta_pct",VERIFIED
"Figure 3","ARPM smell reduction %","0.0",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:ARPM:delta_pct",VERIFIED
"Figure 3","NASE smell reduction %","+7.4",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:NASE:delta_pct",VERIFIED
"Figure 3","TSVM smell reduction %","+36.6",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_81.csv:TSVM:delta_pct",VERIFIED
"§5 RQ2","coverage mean Δ (pp)","+0.107",0.01,"02_phase4_segtr_full/aggregate/preservation_79coverage.csv:__AGGREGATE__",VERIFIED
"§5 RQ2","coverage n","79",0,"02_phase4_segtr_full/aggregate/preservation_79coverage.csv:__AGGREGATE__:bin",VERIFIED
"§5 RQ2","mutation mean Δ (pp)","+0.869",0.01,"02_phase4_segtr_full/aggregate/preservation_58mutation.csv:__AGGREGATE__",VERIFIED
"§5 RQ2","mutation n","58",0,"02_phase4_segtr_full/aggregate/preservation_58mutation.csv:__AGGREGATE__:category",VERIFIED
"§5 RQ2","mutation low band Δ","+0.26",0.01,"02_phase4_segtr_full/aggregate/mutation_by_band.csv:low",VERIFIED
"§5 RQ2","mutation moderate band Δ","+1.16",0.01,"02_phase4_segtr_full/aggregate/mutation_by_band.csv:moderate",VERIFIED
"§5 RQ2","mutation strong band Δ","+0.95",0.01,"02_phase4_segtr_full/aggregate/mutation_by_band.csv:strong",VERIFIED
"Table III","Full coverage Δ (pp, 12-proj cohort)","+0.09",0.01,"03_baselines_3way/aggregate/baseline_preservation.csv:__AGGREGATE__",VERIFIED
"Table III","Naive coverage Δ (pp)","+0.11",0.01,"03_baselines_3way/aggregate/baseline_preservation.csv:__AGGREGATE__",VERIFIED
"Table III","UTRef coverage Δ (pp)","0.00",0.01,"03_baselines_3way/aggregate/baseline_preservation.csv:__AGGREGATE__",VERIFIED
"Table III","Full class regressions","0",0,"03_baselines_3way/aggregate/class_regressions_detail.csv:count(condition=full)",VERIFIED
"Table III","Naive class regressions","25",0,"03_baselines_3way/aggregate/class_regressions_detail.csv:count(condition=naive)",VERIFIED
"Table III","UTRef class regressions","0",0,"03_baselines_3way/aggregate/utref_compile_errors.csv+class_regressions_detail.csv",TODO_CAMERA_READY
"Table III","Full mutation Δ (pp)","+1.03",0.01,"05_phase_e_pit/aggregate/pit_3way.csv:full:mean_delta_pp",VERIFIED
"Table III","Naive mutation Δ (pp)","-0.50",0.01,"05_phase_e_pit/aggregate/pit_3way.csv:naive:mean_delta_pp",VERIFIED
"Figure 4","Full mean smell improvement %","+13.78",0.01,"03_baselines_3way/aggregate/baseline_smell_comparison.csv:mean(full_smell_red_pct)",VERIFIED
"Figure 4","Full median smell improvement %","+15.52",0.01,"03_baselines_3way/aggregate/baseline_smell_comparison.csv:median(full_smell_red_pct)",VERIFIED
"Figure 4","Naive mean smell improvement %","+9.96",0.01,"03_baselines_3way/aggregate/baseline_smell_comparison.csv:mean(naive_smell_red_pct)",VERIFIED
"Figure 4","Naive median smell improvement %","+9.65",0.01,"03_baselines_3way/aggregate/baseline_smell_comparison.csv:median(naive_smell_red_pct)",VERIFIED
"Figure 4","UTRef mean smell improvement %","-10.6",0.01,"03_baselines_3way/aggregate/baseline_smell_comparison.csv:mean(utref_smell_red_pct)",VERIFIED
"Figure 4","UTRef median smell improvement %","+28.0",0.01,"03_baselines_3way/aggregate/baseline_smell_comparison.csv:median(utref_smell_red_pct)",VERIFIED
"Figure 5","T1 cumulative smell reduction %","4.92",0.01,"04_ablation/aggregate/tier_cumulative.csv:t1_only:mean_smell_red_pct",VERIFIED
"Figure 5","T1+T2 cumulative smell reduction %","8.11",0.01,"04_ablation/aggregate/tier_cumulative.csv:t1_t2:mean_smell_red_pct",VERIFIED
"Figure 5","T1–T3 cumulative smell reduction %","13.20",0.01,"04_ablation/aggregate/tier_cumulative.csv:t1_t2_t3:mean_smell_red_pct",VERIFIED
"Figure 5","Full cumulative smell reduction %","13.78",0.01,"04_ablation/aggregate/tier_cumulative.csv:full:mean_smell_red_pct",VERIFIED
"Figure 5","zero regressions under T1","0",0,"04_ablation/aggregate/regressions_by_condition.csv:t1_only:sum_regressed_classes",VERIFIED
"Figure 5","zero regressions under T1+T2","0",0,"04_ablation/aggregate/regressions_by_condition.csv:t1_t2:sum_regressed_classes",VERIFIED
"Figure 5","zero regressions under T1–T3","0",0,"04_ablation/aggregate/regressions_by_condition.csv:t1_t2_t3:sum_regressed_classes",VERIFIED
"Figure 5","zero regressions under Full","0",0,"04_ablation/aggregate/regressions_by_condition.csv:full:sum_regressed_classes",VERIFIED
